top_k,ablation,user_id,query_id,query_mode,query_subtype,hard_case_tag,query,selected_memory_ids,selected_event_ids,selected_memory_types,selected_memory_scores,gold_memory_ids,gold_event_ids,memory_recall,memory_NDCG,memory_top1_accuracy,todo_recall,non_todo_recall,completed_task_error_rate,todo_intrusion_rate,wrong_domain_intrusion_rate,stale_memory_intrusion_rate,completed_task_intrusion_rate,far_deadline_before_near_rate,deadline_ranking_accuracy,memory_token_cost
10,full_qca,v3u007,v3u007_q010,task,task_dependency,task_dependency_current,What blocks reviewer_notes for moot_court_argument_07?,v3u007_m0004|v3u007_m0029|v3u007_m0018|v3u007_m0002|v3u007_m0003|v3u007_m0005|v3u007_m0001|v3u007_m0030|v3u007_m0028|v3u007_m0014,v3u007_e001|v3u007_e006|v3u007_e003|v3u007_e001|v3u007_e001|v3u007_e001|v3u007_e001|v3u007_e006|v3u007_e006|v3u007_e003,dependency|dependency|constraint|todo|todo|constraint|todo|constraint|status_update|todo,0.705791|0.672764|0.60818|0.6056|0.596348|0.594641|0.592916|0.588936|0.586764|0.556633,v3u007_m0004|v3u007_m0029,v3u007_e001|v3u007_e006,1,1,1,,1,,,0,,0.1,,,238
10,wo_tmt,v3u007,v3u007_q010,task,task_dependency,task_dependency_current,What blocks reviewer_notes for moot_court_argument_07?,v3u007_m0004|v3u007_m0014|v3u007_m0029|v3u007_m0003|v3u007_m0013|v3u007_m0018|v3u007_m0002|v3u007_m0005|v3u007_m0030|v3u007_m0028,v3u007_e001|v3u007_e003|v3u007_e006|v3u007_e001|v3u007_e003|v3u007_e003|v3u007_e001|v3u007_e001|v3u007_e006|v3u007_e006,dependency|todo|dependency|todo|todo|constraint|todo|constraint|constraint|status_update,0.705791|0.676333|0.672764|0.630508|0.622971|0.60818|0.6028|0.594641|0.588936|0.586764,v3u007_m0004|v3u007_m0029,v3u007_e001|v3u007_e006,1,0.9197207891481876,1,,1,,,0,,0.2,,,240
10,wo_decay,v3u007,v3u007_q010,task,task_dependency,task_dependency_current,What blocks reviewer_notes for moot_court_argument_07?,v3u007_m0004|v3u007_m0033|v3u007_m0029|v3u007_m0034|v3u007_m0018|v3u007_m0002|v3u007_m0003|v3u007_m0001|v3u007_m0035|v3u007_m0014,v3u007_e001|v3u007_e007|v3u007_e006|v3u007_e007|v3u007_e003|v3u007_e001|v3u007_e001|v3u007_e001|v3u007_e007|v3u007_e003,dependency|dependency|dependency|constraint|constraint|todo|todo|todo|fact|todo,0.6678|0.662733|0.639|0.632908|0.6067|0.6056|0.596348|0.592916|0.5676|0.556633,v3u007_m0004|v3u007_m0029,v3u007_e001|v3u007_e006,1,0.9197207891481876,1,,1,,,0,,0.1,,,217
10,wo_compatibility,v3u007,v3u007_q010,task,task_dependency,task_dependency_current,What blocks reviewer_notes for moot_court_argument_07?,v3u007_m0004|v3u007_m0002|v3u007_m0028|v3u007_m0029|v3u007_m0003|v3u007_m0001|v3u007_m0016|v3u007_m0018|v3u007_m0006|v3u007_m0005,v3u007_e001|v3u007_e001|v3u007_e006|v3u007_e006|v3u007_e001|v3u007_e001|v3u007_e003|v3u007_e003|v3u007_e001|v3u007_e001,dependency|todo|status_update|dependency|todo|todo|status_update|constraint|fact|constraint,0.405791|0.3806|0.376764|0.372764|0.371348|0.367916|0.364925|0.35318|0.3469|0.339641,v3u007_m0004|v3u007_m0029,v3u007_e001|v3u007_e006,1,0.8772153153380493,1,,1,,,0,,0,,,240
10,wo_domain,v3u007,v3u007_q010,task,task_dependency,task_dependency_current,What blocks reviewer_notes for moot_court_argument_07?,v3u007_m0004|v3u007_m0029|v3u007_m0010|v3u007_m0018|v3u007_m0002|v3u007_m0005|v3u007_m0030|v3u007_m0028|v3u007_m0021|v3u007_m0014,v3u007_e001|v3u007_e006|v3u007_e002|v3u007_e003|v3u007_e001|v3u007_e001|v3u007_e006|v3u007_e006|v3u007_e004|v3u007_e003,dependency|dependency|constraint|constraint|todo|constraint|constraint|status_update|constraint|todo,0.565791|0.532764|0.484086|0.46818|0.4656|0.454641|0.448936|0.446764|0.426591|0.416633,v3u007_m0004|v3u007_m0029,v3u007_e001|v3u007_e006,1,1,1,,1,,,0.1,,0.1,,,236
10,wo_penalty,v3u007,v3u007_q010,task,task_dependency,task_dependency_current,What blocks reviewer_notes for moot_court_argument_07?,v3u007_m0004|v3u007_m0029|v3u007_m0018|v3u007_m0002|v3u007_m0003|v3u007_m0005|v3u007_m0001|v3u007_m0030|v3u007_m0028|v3u007_m0014,v3u007_e001|v3u007_e006|v3u007_e003|v3u007_e001|v3u007_e001|v3u007_e001|v3u007_e001|v3u007_e006|v3u007_e006|v3u007_e003,dependency|dependency|constraint|todo|todo|constraint|todo|constraint|status_update|todo,0.705791|0.672764|0.60818|0.6056|0.596348|0.594641|0.592916|0.588936|0.586764|0.556633,v3u007_m0004|v3u007_m0029,v3u007_e001|v3u007_e006,1,1,1,,1,,,0,,0.1,,,238
5,full_qca,v3u007,v3u007_q011,chat,mixed,mixed_plan_preference,Plan moot_court_argument_07 using the user's current case_note_format_07 preference.,v3u007_m0001|v3u007_m0003|v3u007_m0020|v3u007_m0029|v3u007_m0019,v3u007_e001|v3u007_e001|v3u007_e004|v3u007_e006|v3u007_e004,todo|todo|habit|dependency|preference,0.674452|0.662654|0.661355|0.659905|0.658324,v3u007_m0028|v3u007_m0019|v3u007_m0001,v3u007_e006|v3u007_e004|v3u007_e001,0.6666666666666666,0.5363433650638435,1,1,0.5,,,,,,,,118
5,wo_tmt,v3u007,v3u007_q011,chat,mixed,mixed_plan_preference,Plan moot_court_argument_07 using the user's current case_note_format_07 preference.,v3u007_m0003|v3u007_m0013|v3u007_m0014|v3u007_m0020|v3u007_m0029,v3u007_e001|v3u007_e003|v3u007_e003|v3u007_e004|v3u007_e006,todo|todo|todo|habit|dependency,0.726094|0.699189|0.686|0.661355|0.659905,v3u007_m0028|v3u007_m0019|v3u007_m0001,v3u007_e006|v3u007_e004|v3u007_e001,0,0,0,0,0,,,,,,,,113
5,wo_decay,v3u007,v3u007_q011,chat,mixed,mixed_plan_preference,Plan moot_court_argument_07 using the user's current case_note_format_07 preference.,v3u007_m0023|v3u007_m0001|v3u007_m0033|v3u007_m0003|v3u007_m0034,v3u007_e005|v3u007_e001|v3u007_e007|v3u007_e001|v3u007_e007,preference|todo|dependency|todo|constraint,0.7046|0.674452|0.669086|0.662654|0.6592,v3u007_m0028|v3u007_m0019|v3u007_m0001,v3u007_e006|v3u007_e004|v3u007_e001,0.3333333333333333,0.21413620126472027,0,1,0,,,,,,,,105
5,wo_compatibility,v3u007,v3u007_q011,chat,mixed,mixed_plan_preference,Plan moot_court_argument_07 using the user's current case_note_format_07 preference.,v3u007_m0020|v3u007_m0016|v3u007_m0019|v3u007_m0006|v3u007_m0022,v3u007_e004|v3u007_e003|v3u007_e004|v3u007_e001|v3u007_e004,habit|status_update|preference|fact|profile,0.481355|0.456555|0.454324|0.445812|0.436555,v3u007_m0028|v3u007_m0019|v3u007_m0001,v3u007_e006|v3u007_e004|v3u007_e001,0.3333333333333333,0.25454838678859487,0,0,0.5,,,,,,,,109
5,wo_domain,v3u007,v3u007_q011,chat,mixed,mixed_plan_preference,Plan moot_court_argument_07 using the user's current case_note_format_07 preference.,v3u007_m0007|v3u007_m0001|v3u007_m0003|v3u007_m0008|v3u007_m0020,v3u007_e002|v3u007_e001|v3u007_e001|v3u007_e002|v3u007_e004,todo|todo|todo|todo|habit,0.591122|0.554452|0.542654|0.542628|0.541355,v3u007_m0028|v3u007_m0019|v3u007_m0001,v3u007_e006|v3u007_e004|v3u007_e001,0.3333333333333333,0.21413620126472027,0,1,0,,,,,,,,111
5,wo_penalty,v3u007,v3u007_q011,chat,mixed,mixed_plan_preference,Plan moot_court_argument_07 using the user's current case_note_format_07 preference.,v3u007_m0001|v3u007_m0003|v3u007_m0020|v3u007_m0029|v3u007_m0019,v3u007_e001|v3u007_e001|v3u007_e004|v3u007_e006|v3u007_e004,todo|todo|habit|dependency|preference,0.674452|0.662654|0.661355|0.659905|0.658324,v3u007_m0028|v3u007_m0019|v3u007_m0001,v3u007_e006|v3u007_e004|v3u007_e001,0.6666666666666666,0.5363433650638435,1,1,0.5,,,,,,,,118
10,full_qca,v3u007,v3u007_q011,chat,mixed,mixed_plan_preference,Plan moot_court_argument_07 using the user's current case_note_format_07 preference.,v3u007_m0001|v3u007_m0003|v3u007_m0020|v3u007_m0029|v3u007_m0019|v3u007_m0004|v3u007_m0002|v3u007_m0028|v3u007_m0016|v3u007_m0021,v3u007_e001|v3u007_e001|v3u007_e004|v3u007_e006|v3u007_e004|v3u007_e001|v3u007_e001|v3u007_e006|v3u007_e003|v3u007_e004,todo|todo|habit|dependency|preference|dependency|todo|status_update|status_update|constraint,0.674452|0.662654|0.661355|0.659905|0.658324|0.652422|0.632494|0.628155|0.624555|0.604055,v3u007_m0028|v3u007_m0019|v3u007_m0001,v3u007_e006|v3u007_e004|v3u007_e001,1,0.6969455160123837,1,1,1,,,,,,,,241
10,wo_tmt,v3u007,v3u007_q011,chat,mixed,mixed_plan_preference,Plan moot_court_argument_07 using the user's current case_note_format_07 preference.,v3u007_m0003|v3u007_m0013|v3u007_m0014|v3u007_m0020|v3u007_m0029|v3u007_m0019|v3u007_m0004|v3u007_m0028|v3u007_m0002|v3u007_m0016,v3u007_e001|v3u007_e003|v3u007_e003|v3u007_e004|v3u007_e006|v3u007_e004|v3u007_e001|v3u007_e006|v3u007_e001|v3u007_e003,todo|todo|todo|habit|dependency|preference|dependency|status_update|todo|status_update,0.726094|0.699189|0.686|0.661355|0.659905|0.658324|0.652422|0.628155|0.627294|0.624555,v3u007_m0028|v3u007_m0019|v3u007_m0001,v3u007_e006|v3u007_e004|v3u007_e001,0.6666666666666666,0.3419460806302406,0,0,1,,,,,,,,241
10,wo_decay,v3u007,v3u007_q011,chat,mixed,mixed_plan_preference,Plan moot_court_argument_07 using the user's current case_note_format_07 preference.,v3u007_m0023|v3u007_m0001|v3u007_m0033|v3u007_m0003|v3u007_m0034|v3u007_m0025|v3u007_m0002|v3u007_m0024|v3u007_m0032|v3u007_m0035,v3u007_e005|v3u007_e001|v3u007_e007|v3u007_e001|v3u007_e007|v3u007_e005|v3u007_e001|v3u007_e005|v3u007_e007|v3u007_e007,preference|todo|dependency|todo|constraint|constraint|todo|habit|fact|fact,0.7046|0.674452|0.669086|0.662654|0.6592|0.655788|0.632494|0.628447|0.6275|0.6148,v3u007_m0028|v3u007_m0019|v3u007_m0001,v3u007_e006|v3u007_e004|v3u007_e001,0.3333333333333333,0.21413620126472027,0,1,0,,,,,,,,216
10,wo_compatibility,v3u007,v3u007_q011,chat,mixed,mixed_plan_preference,Plan moot_court_argument_07 using the user's current case_note_format_07 preference.,v3u007_m0020|v3u007_m0016|v3u007_m0019|v3u007_m0006|v3u007_m0022|v3u007_m0021|v3u007_m0001|v3u007_m0018|v3u007_m0029|v3u007_m0030,v3u007_e004|v3u007_e003|v3u007_e004|v3u007_e001|v3u007_e004|v3u007_e004|v3u007_e001|v3u007_e003|v3u007_e006|v3u007_e006,habit|status_update|preference|fact|profile|constraint|todo|constraint|dependency|constraint,0.481355|0.456555|0.454324|0.445812|0.436555|0.436055|0.434452|0.432917|0.431905|0.424505,v3u007_m0028|v3u007_m0019|v3u007_m0001,v3u007_e006|v3u007_e004|v3u007_e001,0.6666666666666666,0.3676810031390814,0,1,0.5,,,,,,,,221
10,wo_domain,v3u007,v3u007_q011,chat,mixed,mixed_plan_preference,Plan moot_court_argument_07 using the user's current case_note_format_07 preference.,v3u007_m0007|v3u007_m0001|v3u007_m0003|v3u007_m0008|v3u007_m0020|v3u007_m0029|v3u007_m0019|v3u007_m0004|v3u007_m0010|v3u007_m0011,v3u007_e002|v3u007_e001|v3u007_e001|v3u007_e002|v3u007_e004|v3u007_e006|v3u007_e004|v3u007_e001|v3u007_e002|v3u007_e002,todo|todo|todo|todo|habit|dependency|preference|dependency|constraint|fact,0.591122|0.554452|0.542654|0.542628|0.541355|0.539905|0.538324|0.532422|0.528094|0.514,v3u007_m0028|v3u007_m0019|v3u007_m0001,v3u007_e006|v3u007_e004|v3u007_e001,0.6666666666666666,0.3838351257904502,0,1,0.5,,,,,,,,231
10,wo_penalty,v3u007,v3u007_q011,chat,mixed,mixed_plan_preference,Plan moot_court_argument_07 using the user's current case_note_format_07 preference.,v3u007_m0001|v3u007_m0003|v3u007_m0020|v3u007_m0029|v3u007_m0019|v3u007_m0004|v3u007_m0002|v3u007_m0028|v3u007_m0016|v3u007_m0021,v3u007_e001|v3u007_e001|v3u007_e004|v3u007_e006|v3u007_e004|v3u007_e001|v3u007_e001|v3u007_e006|v3u007_e003|v3u007_e004,todo|todo|habit|dependency|preference|dependency|todo|status_update|status_update|constraint,0.674452|0.662654|0.661355|0.659905|0.658324|0.652422|0.632494|0.628155|0.624555|0.604055,v3u007_m0028|v3u007_m0019|v3u007_m0001,v3u007_e006|v3u007_e004|v3u007_e001,1,0.6969455160123837,1,1,1,,,,,,,,241
5,full_qca,v3u007,v3u007_q012,chat,negative,negative_unknown_domain,What is due for unrelated_quantum_pet_project?,v3u007_m0016|v3u007_m0003|v3u007_m0006|v3u007_m0034|v3u007_m0015,v3u007_e003|v3u007_e001|v3u007_e001|v3u007_e007|v3u007_e003,status_update|todo|fact|constraint|status_update,0.373068|0.363943|0.349477|0.347231|0.347213,,,1,1,0,,,,,0,,,,,106
5,wo_tmt,v3u007,v3u007_q012,chat,negative,negative_unknown_domain,What is due for unrelated_quantum_pet_project?,v3u007_m0003|v3u007_m0014|v3u007_m0016|v3u007_m0013|v3u007_m0006,v3u007_e001|v3u007_e003|v3u007_e003|v3u007_e003|v3u007_e001,todo|todo|status_update|todo|fact,0.376143|0.375909|0.373068|0.373|0.349477,,,1,1,0,,,,,0,,,,,105
5,wo_decay,v3u007,v3u007_q012,chat,negative,negative_unknown_domain,What is due for unrelated_quantum_pet_project?,v3u007_m0034|v3u007_m0032|v3u007_m0003|v3u007_m0016|v3u007_m0015,v3u007_e007|v3u007_e007|v3u007_e001|v3u007_e003|v3u007_e003,constraint|fact|todo|status_update|status_update,0.391231|0.372615|0.363943|0.356|0.350684,,,1,1,0,,,,,0,,,,,113
5,wo_compatibility,v3u007,v3u007_q012,chat,negative,negative_unknown_domain,What is due for unrelated_quantum_pet_project?,v3u007_m0016|v3u007_m0003|v3u007_m0006|v3u007_m0034|v3u007_m0015,v3u007_e003|v3u007_e001|v3u007_e001|v3u007_e007|v3u007_e003,status_update|todo|fact|constraint|status_update,0.373068|0.363943|0.349477|0.347231|0.347213,,,1,1,0,,,,,0,,,,,106
5,wo_domain,v3u007,v3u007_q012,chat,negative,negative_unknown_domain,What is due for unrelated_quantum_pet_project?,v3u007_m0007|v3u007_m0008|v3u007_m0016|v3u007_m0009|v3u007_m0003,v3u007_e002|v3u007_e002|v3u007_e003|v3u007_e002|v3u007_e001,todo|todo|status_update|status_update|todo,0.18023|0.175236|0.173068|0.1715|0.163943,,,1,1,0,,,,,0.6,,,,,113
5,wo_penalty,v3u007,v3u007_q012,chat,negative,negative_unknown_domain,What is due for unrelated_quantum_pet_project?,v3u007_m0016|v3u007_m0003|v3u007_m0006|v3u007_m0034|v3u007_m0015,v3u007_e003|v3u007_e001|v3u007_e001|v3u007_e007|v3u007_e003,status_update|todo|fact|constraint|status_update,0.373068|0.363943|0.349477|0.347231|0.347213,,,1,1,0,,,,,0,,,,,106
10,full_qca,v3u007,v3u007_q012,chat,negative,negative_unknown_domain,What is due for unrelated_quantum_pet_project?,v3u007_m0016|v3u007_m0003|v3u007_m0006|v3u007_m0034|v3u007_m0015|v3u007_m0004|v3u007_m0001|v3u007_m0002|v3u007_m0018|v3u007_m0028,v3u007_e003|v3u007_e001|v3u007_e001|v3u007_e007|v3u007_e003|v3u007_e001|v3u007_e001|v3u007_e001|v3u007_e003|v3u007_e006,status_update|todo|fact|constraint|status_update|dependency|todo|todo|constraint|status_update,0.373068|0.363943|0.349477|0.347231|0.347213|0.346711|0.343789|0.341643|0.340999|0.334202,,,1,1,0,,,,,0,,,,,226
10,wo_tmt,v3u007,v3u007_q012,chat,negative,negative_unknown_domain,What is due for unrelated_quantum_pet_project?,v3u007_m0003|v3u007_m0014|v3u007_m0016|v3u007_m0013|v3u007_m0006|v3u007_m0034|v3u007_m0015|v3u007_m0004|v3u007_m0018|v3u007_m0002,v3u007_e001|v3u007_e003|v3u007_e003|v3u007_e003|v3u007_e001|v3u007_e007|v3u007_e003|v3u007_e001|v3u007_e003|v3u007_e001,todo|todo|status_update|todo|fact|constraint|status_update|dependency|constraint|todo,0.376143|0.375909|0.373068|0.373|0.349477|0.347231|0.347213|0.346711|0.340999|0.340643,,,1,1,0,,,,,0,,,,,219
10,wo_decay,v3u007,v3u007_q012,chat,negative,negative_unknown_domain,What is due for unrelated_quantum_pet_project?,v3u007_m0034|v3u007_m0032|v3u007_m0003|v3u007_m0016|v3u007_m0015|v3u007_m0001|v3u007_m0002|v3u007_m0018|v3u007_m0006|v3u007_m0014,v3u007_e007|v3u007_e007|v3u007_e001|v3u007_e003|v3u007_e003|v3u007_e001|v3u007_e001|v3u007_e003|v3u007_e001|v3u007_e003,constraint|fact|todo|status_update|status_update|todo|todo|constraint|fact|todo,0.391231|0.372615|0.363943|0.356|0.350684|0.343789|0.341643|0.340471|0.333909|0.333159,,,1,1,0,,,,,0,,,,,213
10,wo_compatibility,v3u007,v3u007_q012,chat,negative,negative_unknown_domain,What is due for unrelated_quantum_pet_project?,v3u007_m0016|v3u007_m0003|v3u007_m0006|v3u007_m0034|v3u007_m0015|v3u007_m0004|v3u007_m0001|v3u007_m0002|v3u007_m0018|v3u007_m0028,v3u007_e003|v3u007_e001|v3u007_e001|v3u007_e007|v3u007_e003|v3u007_e001|v3u007_e001|v3u007_e001|v3u007_e003|v3u007_e006,status_update|todo|fact|constraint|status_update|dependency|todo|todo|constraint|status_update,0.373068|0.363943|0.349477|0.347231|0.347213|0.346711|0.343789|0.341643|0.340999|0.334202,,,1,1,0,,,,,0,,,,,226
10,wo_domain,v3u007,v3u007_q012,chat,negative,negative_unknown_domain,What is due for unrelated_quantum_pet_project?,v3u007_m0007|v3u007_m0008|v3u007_m0016|v3u007_m0009|v3u007_m0003|v3u007_m0012|v3u007_m0006|v3u007_m0034|v3u007_m0015|v3u007_m0004,v3u007_e002|v3u007_e002|v3u007_e003|v3u007_e002|v3u007_e001|v3u007_e002|v3u007_e001|v3u007_e007|v3u007_e003|v3u007_e001,todo|todo|status_update|status_update|todo|fact|fact|constraint|status_update|dependency,0.18023|0.175236|0.173068|0.1715|0.163943|0.1545|0.149477|0.147231|0.147213|0.146711,,,1,1,0,,,,,0.4,,,,,212
10,wo_penalty,v3u007,v3u007_q012,chat,negative,negative_unknown_domain,What is due for unrelated_quantum_pet_project?,v3u007_m0016|v3u007_m0003|v3u007_m0006|v3u007_m0034|v3u007_m0015|v3u007_m0004|v3u007_m0001|v3u007_m0002|v3u007_m0018|v3u007_m0028,v3u007_e003|v3u007_e001|v3u007_e001|v3u007_e007|v3u007_e003|v3u007_e001|v3u007_e001|v3u007_e001|v3u007_e003|v3u007_e006,status_update|todo|fact|constraint|status_update|dependency|todo|todo|constraint|status_update,0.373068|0.363943|0.349477|0.347231|0.347213|0.346711|0.343789|0.341643|0.340999|0.334202,,,1,1,0,,,,,0,,,,,226
5,full_qca,v3u007,v3u007_q013,task,task_context,stale_memory_filter,"Which moot_court_argument_07 plan is current, not the old appendix-first plan?",v3u007_m0006|v3u007_m0029|v3u007_m0016|v3u007_m0031|v3u007_m0034,v3u007_e001|v3u007_e006|v3u007_e003|v3u007_e006|v3u007_e007,fact|dependency|status_update|fact|constraint,0.622051|0.603717|0.597584|0.595832|0.593829,v3u007_m0028|v3u007_m0034,v3u007_e006|v3u007_e007,0.5,0.10654373218155079,0,,0.5,,,0,0.2,0,,,100
5,wo_tmt,v3u007,v3u007_q013,task,task_context,stale_memory_filter,"Which moot_court_argument_07 plan is current, not the old appendix-first plan?",v3u007_m0006|v3u007_m0029|v3u007_m0016|v3u007_m0031|v3u007_m0034,v3u007_e001|v3u007_e006|v3u007_e003|v3u007_e006|v3u007_e007,fact|dependency|status_update|fact|constraint,0.622051|0.603717|0.597584|0.595832|0.593829,v3u007_m0028|v3u007_m0034,v3u007_e006|v3u007_e007,0.5,0.10654373218155079,0,,0.5,,,0,0.2,0,,,100
5,wo_decay,v3u007,v3u007_q013,task,task_context,stale_memory_filter,"Which moot_court_argument_07 plan is current, not the old appendix-first plan?",v3u007_m0034|v3u007_m0032|v3u007_m0033|v3u007_m0006|v3u007_m0015,v3u007_e007|v3u007_e007|v3u007_e007|v3u007_e001|v3u007_e003,constraint|fact|dependency|fact|status_update,0.681829|0.671867|0.6216|0.590914|0.5892,v3u007_m0028|v3u007_m0034,v3u007_e006|v3u007_e007,0.5,0.27541155237618664,1,,0.5,,,0,0.6,0,,,97
5,wo_compatibility,v3u007,v3u007_q013,task,task_context,stale_memory_filter,"Which moot_court_argument_07 plan is current, not the old appendix-first plan?",v3u007_m0016|v3u007_m0015|v3u007_m0034|v3u007_m0006|v3u007_m0028,v3u007_e003|v3u007_e003|v3u007_e007|v3u007_e001|v3u007_e006,status_update|status_update|constraint|fact|status_update,0.441584|0.426257|0.413829|0.406051|0.403717,v3u007_m0028|v3u007_m0034,v3u007_e006|v3u007_e007,1,0.4573369727327457,0,,1,,,0,0.2,0,,,112
5,wo_domain,v3u007,v3u007_q013,task,task_context,stale_memory_filter,"Which moot_court_argument_07 plan is current, not the old appendix-first plan?",v3u007_m0006|v3u007_m0029|v3u007_m0016|v3u007_m0031|v3u007_m0010,v3u007_e001|v3u007_e006|v3u007_e003|v3u007_e006|v3u007_e002,fact|dependency|status_update|fact|constraint,0.442051|0.423717|0.417584|0.415832|0.415388,v3u007_m0028|v3u007_m0034,v3u007_e006|v3u007_e007,0,0,0,,0,,,0.2,0,0,,,102
5,wo_penalty,v3u007,v3u007_q013,task,task_context,stale_memory_filter,"Which moot_court_argument_07 plan is current, not the old appendix-first plan?",v3u007_m0006|v3u007_m0029|v3u007_m0016|v3u007_m0031|v3u007_m0034,v3u007_e001|v3u007_e006|v3u007_e003|v3u007_e006|v3u007_e007,fact|dependency|status_update|fact|constraint,0.622051|0.603717|0.597584|0.595832|0.593829,v3u007_m0028|v3u007_m0034,v3u007_e006|v3u007_e007,0.5,0.10654373218155079,0,,0.5,,,0,0.2,0,,,100
10,full_qca,v3u007,v3u007_q013,task,task_context,stale_memory_filter,"Which moot_court_argument_07 plan is current, not the old appendix-first plan?",v3u007_m0006|v3u007_m0029|v3u007_m0016|v3u007_m0031|v3u007_m0034|v3u007_m0015|v3u007_m0032|v3u007_m0030|v3u007_m0028|v3u007_m0017,v3u007_e001|v3u007_e006|v3u007_e003|v3u007_e006|v3u007_e007|v3u007_e003|v3u007_e007|v3u007_e006|v3u007_e006|v3u007_e003,fact|dependency|status_update|fact|constraint|status_update|fact|constraint|status_update|fact,0.622051|0.603717|0.597584|0.595832|0.593829|0.582257|0.573867|0.571435|0.559717|0.555857,v3u007_m0028|v3u007_m0034,v3u007_e006|v3u007_e007,1,0.35526514743439225,0,,1,,,0,0.2,0,,,217
10,wo_tmt,v3u007,v3u007_q013,task,task_context,stale_memory_filter,"Which moot_court_argument_07 plan is current, not the old appendix-first plan?",v3u007_m0006|v3u007_m0029|v3u007_m0016|v3u007_m0031|v3u007_m0034|v3u007_m0015|v3u007_m0032|v3u007_m0030|v3u007_m0028|v3u007_m0017,v3u007_e001|v3u007_e006|v3u007_e003|v3u007_e006|v3u007_e007|v3u007_e003|v3u007_e007|v3u007_e006|v3u007_e006|v3u007_e003,fact|dependency|status_update|fact|constraint|status_update|fact|constraint|status_update|fact,0.622051|0.603717|0.597584|0.595832|0.593829|0.582257|0.573867|0.571435|0.559717|0.555857,v3u007_m0028|v3u007_m0034,v3u007_e006|v3u007_e007,1,0.35526514743439225,0,,1,,,0,0.2,0,,,217
10,wo_decay,v3u007,v3u007_q013,task,task_context,stale_memory_filter,"Which moot_court_argument_07 plan is current, not the old appendix-first plan?",v3u007_m0034|v3u007_m0032|v3u007_m0033|v3u007_m0006|v3u007_m0015|v3u007_m0029|v3u007_m0031|v3u007_m0035|v3u007_m0016|v3u007_m0017,v3u007_e007|v3u007_e007|v3u007_e007|v3u007_e001|v3u007_e003|v3u007_e006|v3u007_e006|v3u007_e007|v3u007_e003|v3u007_e003,constraint|fact|dependency|fact|status_update|dependency|fact|fact|status_update|fact,0.681829|0.671867|0.6216|0.590914|0.5892|0.5796|0.567714|0.5662|0.563447|0.5588,v3u007_m0028|v3u007_m0034,v3u007_e006|v3u007_e007,0.5,0.27541155237618664,1,,0.5,,,0,0.4,0,,,209
10,wo_compatibility,v3u007,v3u007_q013,task,task_context,stale_memory_filter,"Which moot_court_argument_07 plan is current, not the old appendix-first plan?",v3u007_m0016|v3u007_m0015|v3u007_m0034|v3u007_m0006|v3u007_m0028|v3u007_m0029|v3u007_m0030|v3u007_m0031|v3u007_m0040|v3u007_m0003,v3u007_e003|v3u007_e003|v3u007_e007|v3u007_e001|v3u007_e006|v3u007_e006|v3u007_e006|v3u007_e006|v3u007_e008|v3u007_e001,status_update|status_update|constraint|fact|status_update|dependency|constraint|fact|status_update|todo,0.441584|0.426257|0.413829|0.406051|0.403717|0.399717|0.391435|0.379832|0.375956|0.374044,v3u007_m0028|v3u007_m0034,v3u007_e006|v3u007_e007,1,0.4573369727327457,0,,1,,,0,0.1,0,,,213
10,wo_domain,v3u007,v3u007_q013,task,task_context,stale_memory_filter,"Which moot_court_argument_07 plan is current, not the old appendix-first plan?",v3u007_m0006|v3u007_m0029|v3u007_m0016|v3u007_m0031|v3u007_m0010|v3u007_m0034|v3u007_m0015|v3u007_m0032|v3u007_m0030|v3u007_m0028,v3u007_e001|v3u007_e006|v3u007_e003|v3u007_e006|v3u007_e002|v3u007_e007|v3u007_e003|v3u007_e007|v3u007_e006|v3u007_e006,fact|dependency|status_update|fact|constraint|constraint|status_update|fact|constraint|status_update,0.442051|0.423717|0.417584|0.415832|0.415388|0.413829|0.402257|0.393867|0.391435|0.379717,v3u007_m0028|v3u007_m0034,v3u007_e006|v3u007_e007,1,0.33693895202966195,0,,1,,,0.1,0.2,0,,,214
10,wo_penalty,v3u007,v3u007_q013,task,task_context,stale_memory_filter,"Which moot_court_argument_07 plan is current, not the old appendix-first plan?",v3u007_m0006|v3u007_m0029|v3u007_m0016|v3u007_m0031|v3u007_m0034|v3u007_m0015|v3u007_m0032|v3u007_m0030|v3u007_m0028|v3u007_m0017,v3u007_e001|v3u007_e006|v3u007_e003|v3u007_e006|v3u007_e007|v3u007_e003|v3u007_e007|v3u007_e006|v3u007_e006|v3u007_e003,fact|dependency|status_update|fact|constraint|status_update|fact|constraint|status_update|fact,0.622051|0.603717|0.597584|0.595832|0.593829|0.582257|0.573867|0.571435|0.559717|0.555857,v3u007_m0028|v3u007_m0034,v3u007_e006|v3u007_e007,1,0.35526514743439225,0,,1,,,0,0.2,0,,,217
5,full_qca,v3u007,v3u007_q014,task,task_status,wrong_domain_status,"Give status for moot_court_argument_07, not apartment_repair_plan_07.",v3u007_m0016|v3u007_m0040|v3u007_m0015|v3u007_m0028|v3u007_m0045,v3u007_e003|v3u007_e008|v3u007_e003|v3u007_e006|v3u007_e009,status_update|status_update|status_update|status_update|status_update,0.695119|0.665917|0.664176|0.644902|0.639237,v3u007_m0028|v3u007_m0016,v3u007_e006|v3u007_e003,1,0.7724397457735779,1,,1,,,0,,0,,,118
